method,path,current_guard,category,poc_disposition,reference
"GET","/api/health","public","users-legacy","planned","packages/backend/src/app.ts:456"
"POST","/api/userExistence","public","users-legacy","planned","packages/backend/src/app.ts:467"
"POST","/api/auth/validate-invite-code","public","auth","planned","packages/backend/src/app.ts:489"
"POST","/api/auth/register","public","auth","planned","packages/backend/src/app.ts:516"
"POST","/api/auth/authenticate","public","auth","planned","packages/backend/src/app.ts:657"
"POST","/api/auth/deauthenticate","public","auth","planned","packages/backend/src/app.ts:700"
"POST","/api/auth/refresh","public","auth","planned","packages/backend/src/app.ts:706"
"GET","/api/auth/verify","authenticated","auth","planned","packages/backend/src/app.ts:750"
"POST","/api/auth/send-verification-email","authenticated","auth","planned","packages/backend/src/app.ts:766"
"GET","/api/auth/verify-email","public","auth","planned","packages/backend/src/app.ts:817"
"POST","/api/auth/password-reset/request","public","auth","planned","packages/backend/src/app.ts:885"
"POST","/api/auth/password-reset/verify","public","auth","planned","packages/backend/src/app.ts:898"
"POST","/api/auth/invite-codes","authenticated","auth","planned","packages/backend/src/app.ts:936"
"GET","/api/auth/invite-codes/mine","authenticated","auth","planned","packages/backend/src/app.ts:1021"
"POST","/api/auth/redeem-invite","authenticated","auth","planned","packages/backend/src/app.ts:1032"
"POST","/api/auth/complete-onboarding","authenticated","auth","planned","packages/backend/src/app.ts:1099"
"PUT","/api/auth/update-profile","authenticated","auth","planned","packages/backend/src/app.ts:1170"
"DELETE","/api/auth/delete-account","authenticated","auth","planned","packages/backend/src/app.ts:1286"
"POST","/api/register","public","users-legacy","planned","packages/backend/src/app.ts:1298"
"POST","/api/authenticate","public","users-legacy","planned","packages/backend/src/app.ts:1311"
"POST","/api/deauthenticate","public","users-legacy","planned","packages/backend/src/app.ts:1323"
"GET","/api/centers","public","centers-events","planned","packages/backend/src/app.ts:1331"
"POST","/api/addCenter","authenticated","centers-events","planned","packages/backend/src/app.ts:1357"
"POST","/api/verifyCenter","authenticated","centers-events","planned","packages/backend/src/app.ts:1405"
"POST","/api/removeCenter","authenticated","centers-events","planned","packages/backend/src/app.ts:1427"
"POST","/api/fetchAllCenters","public","centers-events","planned","packages/backend/src/app.ts:1442"
"POST","/api/fetchCenter","public","centers-events","planned","packages/backend/src/app.ts:1450"
"GET","/api/fetchCenter","public","centers-events","planned","packages/backend/src/app.ts:1467"
"POST","/api/verifyUser","authenticated","users-legacy","planned","packages/backend/src/app.ts:1483"
"POST","/api/userUpdate","authenticated","users-legacy","planned","packages/backend/src/app.ts:1510"
"POST","/api/updateRegistration","authenticated","users-legacy","planned","packages/backend/src/app.ts:1559"
"POST","/api/removeUser","authenticated","users-legacy","planned","packages/backend/src/app.ts:1601"
"POST","/api/getUserEvents","authenticated","centers-events","planned","packages/backend/src/app.ts:1620"
"GET","/api/public-profiles/:userId","authenticated","users-legacy","planned","packages/backend/src/app.ts:1642"
"GET","/api/profile/:username/events","authenticated","users-legacy","planned","packages/backend/src/app.ts:1661"
"GET","/api/profile/:username/posts","authenticated","users-legacy","planned","packages/backend/src/app.ts:1673"
"GET","/api/profile/:username/groups","authenticated","users-legacy","planned","packages/backend/src/app.ts:1681"
"GET","/api/profile/:username/messages","authenticated","users-legacy","planned","packages/backend/src/app.ts:1695"
"GET","/api/boards/:type/:id","authenticated","boards","planned","packages/backend/src/app.ts:1704"
"POST","/api/boards/:type/:id/posts","authenticated","boards","planned","packages/backend/src/app.ts:1727"
"POST","/api/feed/public","authenticated","feed","planned","packages/backend/src/app.ts:1807"
"POST","/api/boards/posts/:postId/reactions","authenticated","boards","planned","packages/backend/src/app.ts:1853"
"PATCH","/api/boards/posts/:postId","authenticated","boards","planned","packages/backend/src/app.ts:1907"
"DELETE","/api/boards/posts/:postId","authenticated","boards","planned","packages/backend/src/app.ts:1969"
"POST","/api/boards/posts/:postId/pin","authenticated","boards","planned","packages/backend/src/app.ts:2014"
"POST","/api/boards/posts/:postId/unpin","authenticated","boards","planned","packages/backend/src/app.ts:2057"
"POST","/api/boards/posts/:postId/replies","authenticated","boards","planned","packages/backend/src/app.ts:2100"
"GET","/api/boards/posts/:postId/replies","authenticated","boards","planned","packages/backend/src/app.ts:2188"
"GET","/api/feed","authenticated","feed","planned","packages/backend/src/app.ts:2218"
"POST","/api/boards/posts/:postId/report","authenticated","boards","planned","packages/backend/src/app.ts:2248"
"POST","/api/addEvent","authenticated","centers-events","planned","packages/backend/src/app.ts:2284"
"POST","/api/removeEvent","authenticated","centers-events","planned","packages/backend/src/app.ts:2453"
