route,platform,kind,poc_disposition,reference
"/","shared","layout","planned","packages/frontend/app/(tabs)/_layout.tsx"
"/chat","shared","screen","planned","packages/frontend/app/(tabs)/chat.tsx"
"/explore","shared","screen","planned","packages/frontend/app/(tabs)/explore.tsx"
"/explore","web","screen","planned","packages/frontend/app/(tabs)/explore.web.tsx"
"/feed","shared","screen","planned","packages/frontend/app/(tabs)/feed.tsx"
"/","shared","screen","planned","packages/frontend/app/(tabs)/index.tsx"
"/profile","shared","screen","planned","packages/frontend/app/(tabs)/profile.tsx"
"/profile","web","screen","planned","packages/frontend/app/(tabs)/profile.web.tsx"
"/","shared","html","planned","packages/frontend/app/+html.tsx"
"/","shared","not-found","planned","packages/frontend/app/+not-found.tsx"
"/","shared","layout","planned","packages/frontend/app/_layout.tsx"
"/admin","shared","screen","planned","packages/frontend/app/admin.tsx"
"/admin","web","screen","planned","packages/frontend/app/admin.web.tsx"
"/auth","shared","screen","planned","packages/frontend/app/auth.tsx"
"/auth","web","screen","planned","packages/frontend/app/auth.web.tsx"
"/auth/forgot","shared","screen","planned","packages/frontend/app/auth/forgot.tsx"
"/auth/forgot","web","screen","planned","packages/frontend/app/auth/forgot.web.tsx"
"/center-picker","shared","screen","planned","packages/frontend/app/center-picker.tsx"
"/center/:id","shared","screen","planned","packages/frontend/app/center/[id].tsx"
"/center/:id","web","screen","planned","packages/frontend/app/center/[id].web.tsx"
"/chat/:id","shared","screen","planned","packages/frontend/app/chat/[id].tsx"
"/chat/:id","web","screen","planned","packages/frontend/app/chat/[id].web.tsx"
"/cookies","shared","screen","planned","packages/frontend/app/cookies.tsx"
"/cookies","web","screen","planned","packages/frontend/app/cookies.web.tsx"
"/edit-profile","shared","screen","planned","packages/frontend/app/edit-profile.tsx"
"/events/:id","shared","screen","planned","packages/frontend/app/events/[id].tsx"
"/events/:id","web","screen","planned","packages/frontend/app/events/[id].web.tsx"
"/events/form","shared","screen","planned","packages/frontend/app/events/form.tsx"
"/events/form","web","screen","planned","packages/frontend/app/events/form.web.tsx"
"/events","shared","screen","planned","packages/frontend/app/events/index.tsx"
"/feed/:id","shared","screen","planned","packages/frontend/app/feed/[id].tsx"
"/feed/:id","web","screen","planned","packages/frontend/app/feed/[id].web.tsx"
"/i/:code","shared","screen","planned","packages/frontend/app/i/[code].tsx"
"/intro","shared","screen","planned","packages/frontend/app/intro.tsx"
"/invite/:code","shared","screen","planned","packages/frontend/app/invite/[code].tsx"
"/join","shared","screen","planned","packages/frontend/app/join.tsx"
"/landing","shared","screen","planned","packages/frontend/app/landing.tsx"
"/landing","web","screen","planned","packages/frontend/app/landing.web.tsx"
"/members/:id","shared","screen","planned","packages/frontend/app/members/[id].tsx"
"/notifications","shared","screen","planned","packages/frontend/app/notifications.tsx"
"/onboarding","shared","screen","planned","packages/frontend/app/onboarding.tsx"
"/privacy","shared","screen","planned","packages/frontend/app/privacy.tsx"
"/privacy","web","screen","planned","packages/frontend/app/privacy.web.tsx"
"/settings","shared","layout","planned","packages/frontend/app/settings/_layout.tsx"
"/settings","shared","screen","planned","packages/frontend/app/settings/index.tsx"
"/settings","web","screen","planned","packages/frontend/app/settings/index.web.tsx"
"/settings/invite","shared","screen","planned","packages/frontend/app/settings/invite.tsx"
"/settings/notifications","shared","screen","planned","packages/frontend/app/settings/notifications.tsx"
"/settings/profile","shared","screen","planned","packages/frontend/app/settings/profile.tsx"
"/terms","shared","screen","planned","packages/frontend/app/terms.tsx"
"/terms","web","screen","planned","packages/frontend/app/terms.web.tsx"
"/verification","shared","screen","planned","packages/frontend/app/verification.tsx"
"/verify-email","shared","screen","planned","packages/frontend/app/verify-email.tsx"
